date,price
2019-04-16,1279.0
2019-04-17,1279.0
2019-04-18,1279.0
2019-04-19,1279.0
2019-04-20,1279.0
2019-04-21,1279.0
2019-04-22,1279.0
2019-04-23,1279.0
2019-04-24,1279.0
2019-04-25,1279.0
2019-04-26,1279.0
2019-04-27,1279.0
2019-04-28,1279.0
2019-04-29,1279.0
2019-04-30,1279.0
2019-05-01,1279.0
2019-05-02,1279.0
2019-05-03,1279.0
2019-05-04,1279.0
2019-05-05,1279.0
2019-05-06,1279.0
2019-05-07,1279.0
2019-05-08,1279.0
2019-05-09,1279.0
2019-05-10,1279.0
2019-05-11,1279.0
2019-05-12,1279.0
2019-05-13,1279.0
2019-05-14,1279.0
2019-05-15,1279.0
2019-05-16,1279.0
2019-05-17,1279.0
2019-05-18,1279.0
2019-05-19,1279.0
2019-05-20,1279.0
2019-05-21,1279.0
2019-05-22,1279.0
2019-05-23,1279.0
2019-05-24,1279.0
2019-05-25,1279.0
2019-05-26,1279.0
2019-05-27,1279.0
2019-05-28,1279.0
2019-05-29,1279.0
2019-05-30,1279.0
2019-05-31,1279.0
2019-06-01,1279.0
2019-06-02,1279.0
2019-06-03,1279.0
2019-06-04,1279.0
2019-06-05,1279.0
2019-06-06,1279.0
2019-06-07,1279.0
2019-06-08,1279.0
2019-06-09,1279.0
2019-06-10,1279.0
2019-06-11,1279.0
2019-06-12,1279.0
2019-06-13,1279.0
2019-06-14,1279.0
2019-06-15,1279.0
2019-06-16,1279.0
2019-06-17,1279.0
2019-06-18,1149.0
2019-06-19,1149.0
2019-06-20,1149.0
2019-06-21,1149.0
2019-06-22,1149.0
2019-06-23,1149.0
2019-06-24,1149.0
2019-06-25,1149.0
2019-06-26,1149.0
2019-06-27,1149.0
2019-06-28,1149.0
2019-06-29,1149.0
2019-06-30,1149.0
2019-07-01,1149.0
2019-07-02,1149.0
2019-07-03,1149.0
2019-07-04,1149.0
2019-07-05,1149.0
2019-07-06,1149.0
2019-07-07,1149.0
2019-07-08,1166.0
2019-07-09,1149.0
2019-07-10,1107.0
2019-07-11,1107.0
2019-07-12,1080.0
2019-07-13,1107.0
2019-07-14,1107.0
2019-07-15,1080.0
2019-07-16,1080.0
2019-08-06,1119.0
2019-08-07,1119.0
2019-08-08,1119.0
2019-08-09,1119.0
2019-08-10,1119.0
2019-08-11,1119.0
2019-08-12,1119.0
2019-08-13,1119.0
2019-08-14,1119.0
2019-08-15,1119.0
2019-08-19,1102.0
2019-08-19,1095.0
2019-08-20,1095.0
2019-08-21,1114.0
2019-08-22,1114.0
2019-08-23,1114.0
2019-08-24,1149.0
2019-08-25,1149.0
2019-08-26,1149.0
2019-08-27,1149.0
2019-08-28,1149.0
