date,price
2017-05-17,399.0
2017-05-20,399.0
2017-05-23,399.0
2017-05-24,399.0
2017-05-25,399.0
2017-05-26,399.0
2017-05-27,399.0
2017-05-28,399.0
2017-05-29,399.0
2017-05-30,399.0
2017-05-31,399.0
2017-06-01,399.0
2017-06-02,399.0
2017-06-03,399.0
2017-06-04,399.0
2017-06-05,399.0
2017-06-06,399.0
2017-06-07,399.0
2017-06-08,399.0
2017-06-09,399.0
2017-06-10,399.0
2017-06-11,399.0
2017-06-12,399.0
2017-06-13,399.0
2017-06-14,399.0
2017-06-15,399.0
2017-06-16,399.0
2017-06-17,399.0
2017-06-18,399.0
2017-06-19,397.0
2017-06-20,397.0
2017-06-21,397.0
2017-06-22,396.0
2017-06-23,396.0
2017-06-24,396.0
2017-06-25,396.0
2017-06-26,396.0
2017-06-27,396.0
2017-06-28,396.0
2017-06-29,396.0
2017-06-30,396.0
2017-07-01,396.0
2017-07-02,396.0
2017-07-03,396.0
2017-07-04,396.0
2017-07-05,396.0
2017-07-06,397.0
2017-07-07,397.0
2017-07-08,397.0
2017-07-09,397.0
2017-07-10,397.0
2017-07-11,397.0
2017-07-12,397.0
2017-07-13,397.0
2017-07-14,397.0
2017-07-15,397.0
2017-07-16,397.0
2017-07-17,397.0
2017-07-18,397.0
2017-07-19,397.0
2017-07-20,397.0
2017-07-21,397.0
2017-07-22,397.0
2017-07-23,397.0
2017-07-24,397.0
2017-07-25,397.0
2017-07-26,399.0
2017-07-27,399.0
2017-07-28,399.0
2017-07-29,399.0
2017-07-30,399.0
2017-07-31,399.0
2017-08-01,399.0
2017-08-02,399.0
2017-08-03,399.0
2017-08-04,399.0
2017-08-05,399.0
2017-08-06,399.0
2017-08-07,399.0
2017-08-08,399.0
2017-08-09,399.0
2017-08-10,399.0
2017-08-11,399.0
2017-08-12,399.0
2017-08-13,399.0
2017-08-14,349.0
2017-08-15,349.0
2017-08-16,349.0
2017-08-18,349.0
2017-08-19,349.0
2017-08-20,349.0
2017-08-21,349.0
2017-08-22,349.0
2017-08-23,349.0
2017-08-24,349.0
2017-08-25,349.0
2017-08-26,349.0
2017-08-27,349.0
2017-08-28,349.0
2017-08-29,349.0
2017-08-30,349.0
2017-08-31,349.0
2017-09-01,349.0
2017-09-02,349.0
2017-09-03,349.0
2017-09-04,349.0
2017-09-05,349.0
2017-09-06,349.0
2017-09-07,349.0
2017-09-08,349.0
2017-09-09,349.0
2017-09-10,349.0
2017-09-11,349.0
2017-09-12,349.0
2017-09-13,482.0
2017-09-14,482.0
2017-09-15,462.0
2017-09-16,462.0
2017-09-17,462.0
2017-09-18,462.0
2017-09-19,462.0
2017-09-20,462.0
2017-09-21,382.0
2017-09-22,382.0
2017-09-23,382.0
2017-09-24,382.0
2017-09-25,382.0
2017-09-26,382.0
2017-09-27,382.0
2017-09-28,382.0
2017-09-29,382.0
2017-09-30,382.0
2017-10-01,382.0
2017-10-02,382.0
2017-10-03,382.0
2017-10-04,382.0
2017-10-05,382.0
2017-10-06,382.0
2017-10-07,382.0
2017-10-08,382.0
2017-10-09,382.0
2017-10-10,382.0
2017-10-11,382.0
2017-10-12,382.0
2017-10-13,382.0
2017-10-14,382.0
2017-10-15,382.0
2017-10-16,382.0
2017-10-17,382.0
2017-10-18,392.0
