date,price
2019-08-06,766.0
2019-08-07,766.0
2019-08-08,766.0
2019-08-09,766.0
2019-08-09,753.0
2019-08-10,754.0
2019-08-11,764.0
2019-08-12,764.0
2019-08-13,764.0
2019-08-15,752.0
2019-08-16,752.0
2019-08-17,752.0
2019-08-19,749.0
2019-08-19,0.0
2019-08-20,749.0
2019-08-21,763.0
2019-08-22,763.0
2019-08-23,763.0
2019-08-24,749.0
2019-08-25,763.0
2019-08-26,749.0
2019-08-27,749.0
2019-08-28,749.0
2019-08-29,749.0
2019-08-30,749.0
2019-08-31,749.0
2019-09-01,749.0
2019-09-02,749.0
2019-09-03,749.0
2019-09-04,749.0
2019-09-05,749.0
2019-09-06,749.0
2019-09-07,749.0
2019-09-08,749.0
2019-09-09,749.0
2019-09-10,749.0
2019-09-11,749.0
2019-09-12,749.0
2019-09-13,749.0
2019-09-14,749.0
2019-09-15,749.0
2019-09-16,749.0
2019-09-17,749.0
2019-09-18,749.0
2019-09-19,697.0
2019-09-20,697.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,0.0
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-26,0.0
